section,epoch,elapsed_minutes,estimated_remaining_minutes,best_epoch,best_f1,val_threshold,val_precision,val_recall,val_f1,val_unit_accuracy,val_positive_unit_accuracy,val_unit_mae,val_false_positive_rate,val_predicted_positive_rows,val_actual_positive_rows
review,16,0.401772685845693,2.109306600689888,16,0.7708333333333335,0.01,0.9736842105263158,0.6379310344827587,0.7708333333333335,0.9253731343283582,0.6222222222222222,0.09701492537313433,0.004761904761904762,38.0,58.0
review,17,0.4255901654561361,2.0778813960505467,16,0.7708333333333335,0.03,0.9736842105263158,0.6379310344827587,0.7708333333333335,0.9253731343283582,0.6222222222222222,0.09701492537313433,0.004761904761904762,38.0,58.0
review,18,0.45033960342407225,2.051547082265218,16,0.7708333333333335,0.01,0.972972972972973,0.6206896551724138,0.7578947368421053,0.9216417910447762,0.6,0.10074626865671642,0.004761904761904762,37.0,58.0
review,19,0.47524526516596477,2.0260456041285866,19,0.803921568627451,0.01,0.9318181818181818,0.7068965517241379,0.803921568627451,0.9328358208955224,0.7111111111111111,0.08955223880597014,0.014285714285714285,44.0,58.0
review,20,0.4986640691757202,1.9946562767028808,19,0.803921568627451,0.01,0.9318181818181818,0.7068965517241379,0.803921568627451,0.9328358208955224,0.7111111111111111,0.08955223880597014,0.014285714285714285,44.0,58.0
review,21,0.5205399870872498,1.958221856185368,21,0.8118811881188119,0.03,0.9534883720930233,0.7068965517241379,0.8118811881188119,0.9402985074626866,0.7333333333333333,0.07835820895522388,0.009523809523809525,43.0,58.0
review,22,0.5411145885785421,1.9184971776875583,21,0.8118811881188119,0.03,0.9534883720930233,0.7068965517241379,0.8118811881188119,0.9402985074626866,0.7333333333333333,0.07835820895522388,0.009523809523809525,43.0,58.0
review,23,0.5634820024172466,1.8864397472229557,21,0.8118811881188119,0.05,0.9318181818181818,0.7068965517241379,0.803921568627451,0.9365671641791045,0.7333333333333333,0.08208955223880597,0.014285714285714285,44.0,58.0
review,24,0.5852076172828674,1.8531574547290801,21,0.8118811881188119,0.1,0.9534883720930233,0.7068965517241379,0.8118811881188119,0.9402985074626866,0.7333333333333333,0.07835820895522388,0.009523809523809525,43.0,58.0
review,25,0.6077963670094808,1.8233891010284422,21,0.8118811881188119,0.01,0.9534883720930233,0.7068965517241379,0.8118811881188119,0.9402985074626866,0.7333333333333333,0.07835820895522388,0.009523809523809525,43.0,58.0
review,26,0.631404968102773,1.7970756784463542,21,0.8118811881188119,0.01,0.9534883720930233,0.7068965517241379,0.8118811881188119,0.9402985074626866,0.7333333333333333,0.07835820895522388,0.009523809523809525,43.0,58.0
review,27,0.6528346180915833,1.7650713748402067,27,0.8199999999999998,0.05,0.9761904761904762,0.7068965517241379,0.8199999999999998,0.9440298507462687,0.7333333333333333,0.07462686567164178,0.004761904761904762,42.0,58.0
review,28,0.6760209838549296,1.7383396727698188,27,0.8199999999999998,0.01,0.9534883720930233,0.7068965517241379,0.8118811881188119,0.9402985074626866,0.7333333333333333,0.07835820895522388,0.009523809523809525,43.0,58.0
